Causa de muerte;Edad;Sexo;Periodo;Total
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2020;2.399
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2019;2.307
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2018;2.410
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2017;2.457
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2016;2.428
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2015;2.325
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2014;2.340
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2013;2.459
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2012;2.275
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2011;2.317
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2010;2.277
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2009;2.154
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2008;2.066
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2007;2.204
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2006;2.147
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2005;2.198
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2004;2.228
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2003;2.201
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2002;2.224
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2001;2.186
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;2000;2.186
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1999;2.172
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1998;2.205
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1997;2.268
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1996;2.073
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1995;2.181
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1994;2.212
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1993;2.143
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1992;2.109
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1991;2.126
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1990;1.900
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1989;1.832
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1988;1.808
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1987;1.751
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1986;1.614
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1985;1.444
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1984;1.452
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1983;1.254
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1982;1.244
009  Tumor maligno del labio, de la cavidad bucal y de la faringe;Todas las edades;Total;1981;1.180
