Causa de muerte;Sexo;Edad;Periodo;Total
001-102  I-XXII.Todas las causas;Total;Todas las edades;2020;493.776
001-102  I-XXII.Todas las causas;Total;Todas las edades;2019;418.703
001-102  I-XXII.Todas las causas;Total;Todas las edades;2018;427.721
001-102  I-XXII.Todas las causas;Total;Todas las edades;2017;424.523
001-102  I-XXII.Todas las causas;Total;Todas las edades;2016;410.611
001-102  I-XXII.Todas las causas;Total;Todas las edades;2015;422.568
001-102  I-XXII.Todas las causas;Total;Todas las edades;2014;395.830
001-102  I-XXII.Todas las causas;Total;Todas las edades;2013;390.419
001-102  I-XXII.Todas las causas;Total;Todas las edades;2012;402.950
001-102  I-XXII.Todas las causas;Total;Todas las edades;2011;387.911
001-102  I-XXII.Todas las causas;Total;Todas las edades;2010;382.047
001-102  I-XXII.Todas las causas;Total;Todas las edades;2009;384.933
001-102  I-XXII.Todas las causas;Total;Todas las edades;2008;386.324
001-102  I-XXII.Todas las causas;Total;Todas las edades;2007;385.361
001-102  I-XXII.Todas las causas;Total;Todas las edades;2006;371.478
001-102  I-XXII.Todas las causas;Total;Todas las edades;2005;387.355
001-102  I-XXII.Todas las causas;Total;Todas las edades;2004;371.934
001-102  I-XXII.Todas las causas;Total;Todas las edades;2003;384.828
001-102  I-XXII.Todas las causas;Total;Todas las edades;2002;368.618
001-102  I-XXII.Todas las causas;Total;Todas las edades;2001;360.131
001-102  I-XXII.Todas las causas;Total;Todas las edades;2000;360.391
001-102  I-XXII.Todas las causas;Total;Todas las edades;1999;371.102
001-102  I-XXII.Todas las causas;Total;Todas las edades;1998;360.511
001-102  I-XXII.Todas las causas;Total;Todas las edades;1997;349.521
001-102  I-XXII.Todas las causas;Total;Todas las edades;1996;351.449
001-102  I-XXII.Todas las causas;Total;Todas las edades;1995;346.227
001-102  I-XXII.Todas las causas;Total;Todas las edades;1994;338.242
001-102  I-XXII.Todas las causas;Total;Todas las edades;1993;339.661
001-102  I-XXII.Todas las causas;Total;Todas las edades;1992;331.515
001-102  I-XXII.Todas las causas;Total;Todas las edades;1991;337.691
001-102  I-XXII.Todas las causas;Total;Todas las edades;1990;333.142
001-102  I-XXII.Todas las causas;Total;Todas las edades;1989;324.796
001-102  I-XXII.Todas las causas;Total;Todas las edades;1988;319.437
001-102  I-XXII.Todas las causas;Total;Todas las edades;1987;310.073
001-102  I-XXII.Todas las causas;Total;Todas las edades;1986;310.413
001-102  I-XXII.Todas las causas;Total;Todas las edades;1985;312.532
001-102  I-XXII.Todas las causas;Total;Todas las edades;1984;299.409
001-102  I-XXII.Todas las causas;Total;Todas las edades;1983;302.569
001-102  I-XXII.Todas las causas;Total;Todas las edades;1982;286.655
001-102  I-XXII.Todas las causas;Total;Todas las edades;1981;293.386
001-102  I-XXII.Todas las causas;Total;Todas las edades;1980;289.344
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2020;244.112
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2019;206.020
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2018;211.279
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2017;210.287
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2016;201.618
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2015;209.259
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2014;194.259
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2013;190.585
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2012;197.030
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2011;188.057
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2010;183.926
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2009;185.838
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2008;186.677
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2007;184.225
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2006;177.324
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2005;185.586
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2004;177.006
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2003;184.931
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2002;175.349
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2001;170.417
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;2000;170.923
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1999;175.847
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1998;170.293
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1997;164.426
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1996;164.548
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1995;161.739
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1994;158.318
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1993;159.149
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1992;154.428
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1991;158.347
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1990;156.363
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1989;152.432
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1988;150.703
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1987;146.182
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1986;147.452
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1985;147.698
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1984;140.894
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1983;144.194
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1982;135.607
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1981;138.949
001-102  I-XXII.Todas las causas;Mujeres;Todas las edades;1980;137.119
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2020;249.664
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2019;212.683
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2018;216.442
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2017;214.236
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2016;208.993
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2015;213.309
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2014;201.571
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2013;199.834
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2012;205.920
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2011;199.854
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2010;198.121
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2009;199.095
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2008;199.647
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2007;201.136
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2006;194.154
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2005;201.769
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2004;194.928
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2003;199.897
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2002;193.269
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2001;189.714
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;2000;189.468
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1999;195.255
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1998;190.218
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1997;185.095
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1996;186.901
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1995;184.488
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1994;179.924
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1993;180.512
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1992;177.087
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1991;179.344
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1990;176.779
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1989;172.364
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1988;168.734
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1987;163.891
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1986;162.961
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1985;164.834
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1984;158.515
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1983;158.375
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1982;151.048
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1981;154.437
001-102  I-XXII.Todas las causas;Hombres;Todas las edades;1980;152.225
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2020;80.796
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2019;6.119
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2018;6.398
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2017;6.819
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2016;7.033
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2015;7.567
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2014;6.508
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2013;6.209
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2012;6.520
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2011;6.398
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2010;6.489
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2009;6.843
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2008;7.712
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2007;7.782
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2006;7.201
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2005;7.493
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2004;7.218
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2003;7.302
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2002;6.736
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2001;6.557
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;2000;6.284
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1999;6.530
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1998;6.353
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1997;7.262
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1996;10.114
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1995;10.138
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1994;9.050
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1993;8.436
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1992;7.487
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1991;6.608
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1990;5.877
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1989;5.085
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1988;4.215
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1987;3.718
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1986;3.363
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1985;3.336
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1984;3.232
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1983;3.275
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1982;3.372
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1981;3.781
001-008  I.Enfermedades infecciosas y parasitarias;Total;Todas las edades;1980;3.942
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2020;38.959
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2019;3.058
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2018;3.183
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2017;3.533
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2016;3.707
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2015;3.819
