Causa de muerte;Edad;Sexo;Periodo;Total
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2020;1.297
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2019;1.499
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2018;1.553
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2017;1.567
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2016;1.642
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2015;1.713
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2014;1.663
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2013;1.443
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2012;1.577
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2011;1.704
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2010;1.811
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2009;1.759
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2008;1.359
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2007;1.366
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2006;1.351
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2005;1.596
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2004;1.566
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2003;1.749
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2002;1.663
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2001;1.672
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;2000;1.787
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1999;1.775
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1998;1.753
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1997;1.710
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1996;1.627
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1995;1.588
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1994;1.554
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1993;1.554
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1992;1.529
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1991;1.639
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1990;1.593
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1989;1.625
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1988;1.506
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1987;1.559
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1986;1.521
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1985;1.596
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1984;2.009
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1983;1.991
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1982;2.088
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1981;2.321
053  Enfermedades cardíacas reumáticas crónicas;Todas las edades;Total;1980;2.594
054  Enfermedades hipertensivas;Todas las edades;Total;2020;14.271
054  Enfermedades hipertensivas;Todas las edades;Total;2019;11.854
054  Enfermedades hipertensivas;Todas las edades;Total;2018;12.496
054  Enfermedades hipertensivas;Todas las edades;Total;2017;12.560
054  Enfermedades hipertensivas;Todas las edades;Total;2016;12.153
054  Enfermedades hipertensivas;Todas las edades;Total;2015;12.675
054  Enfermedades hipertensivas;Todas las edades;Total;2014;11.573
054  Enfermedades hipertensivas;Todas las edades;Total;2013;11.243
054  Enfermedades hipertensivas;Todas las edades;Total;2012;10.273
054  Enfermedades hipertensivas;Todas las edades;Total;2011;9.669
054  Enfermedades hipertensivas;Todas las edades;Total;2010;9.474
054  Enfermedades hipertensivas;Todas las edades;Total;2009;8.233
054  Enfermedades hipertensivas;Todas las edades;Total;2008;7.654
054  Enfermedades hipertensivas;Todas las edades;Total;2007;7.486
054  Enfermedades hipertensivas;Todas las edades;Total;2006;6.676
054  Enfermedades hipertensivas;Todas las edades;Total;2005;6.661
054  Enfermedades hipertensivas;Todas las edades;Total;2004;6.206
054  Enfermedades hipertensivas;Todas las edades;Total;2003;6.228
054  Enfermedades hipertensivas;Todas las edades;Total;2002;5.533
054  Enfermedades hipertensivas;Todas las edades;Total;2001;5.224
054  Enfermedades hipertensivas;Todas las edades;Total;2000;5.055
054  Enfermedades hipertensivas;Todas las edades;Total;1999;4.911
054  Enfermedades hipertensivas;Todas las edades;Total;1998;5.112
054  Enfermedades hipertensivas;Todas las edades;Total;1997;4.528
054  Enfermedades hipertensivas;Todas las edades;Total;1996;4.443
054  Enfermedades hipertensivas;Todas las edades;Total;1995;4.212
054  Enfermedades hipertensivas;Todas las edades;Total;1994;3.796
054  Enfermedades hipertensivas;Todas las edades;Total;1993;3.308
054  Enfermedades hipertensivas;Todas las edades;Total;1992;3.301
054  Enfermedades hipertensivas;Todas las edades;Total;1991;3.193
054  Enfermedades hipertensivas;Todas las edades;Total;1990;2.800
054  Enfermedades hipertensivas;Todas las edades;Total;1989;2.533
054  Enfermedades hipertensivas;Todas las edades;Total;1988;2.482
054  Enfermedades hipertensivas;Todas las edades;Total;1987;2.397
054  Enfermedades hipertensivas;Todas las edades;Total;1986;2.491
054  Enfermedades hipertensivas;Todas las edades;Total;1985;2.146
054  Enfermedades hipertensivas;Todas las edades;Total;1984;2.016
054  Enfermedades hipertensivas;Todas las edades;Total;1983;2.099
054  Enfermedades hipertensivas;Todas las edades;Total;1982;2.114
054  Enfermedades hipertensivas;Todas las edades;Total;1981;2.022
054  Enfermedades hipertensivas;Todas las edades;Total;1980;1.952
055  Infarto agudo de miocardio;Todas las edades;Total;2020;13.927
055  Infarto agudo de miocardio;Todas las edades;Total;2019;13.673
055  Infarto agudo de miocardio;Todas las edades;Total;2018;14.521
055  Infarto agudo de miocardio;Todas las edades;Total;2017;14.956
055  Infarto agudo de miocardio;Todas las edades;Total;2016;14.908
055  Infarto agudo de miocardio;Todas las edades;Total;2015;15.932
055  Infarto agudo de miocardio;Todas las edades;Total;2014;15.893
055  Infarto agudo de miocardio;Todas las edades;Total;2013;16.536
055  Infarto agudo de miocardio;Todas las edades;Total;2012;17.644
055  Infarto agudo de miocardio;Todas las edades;Total;2011;18.101
055  Infarto agudo de miocardio;Todas las edades;Total;2010;18.684
055  Infarto agudo de miocardio;Todas las edades;Total;2009;19.437
